project,year,lender,debt_amount_usd,country,investment_sector
"Kafue Gorge Lower Hydropower Project, 750MW",2017,"MixedCN: Export-Import Bank of China (CHEXIM), Industrial and Commercial Bank of China Ltd. (ICBC)",1000000000,Zambia,Power
Upper West Electrification Extension,2012,China International Water & Electric Corporation (CWE),162000000,Ghana,Power
Garsen - Hola - Garrissa Transmission Line,2017,CHEXIM,90000000,Kenya,Power
Project for the Rehabilitation of the CRTV,2016,CHEXIM,62000000,Cameroon,ICT
"Angola E-Government Project for 13 ""Cap. Prov."" - Project 4",2011,CHEXIM,36000000,Angola,ICT
Dedicated Security Information System Phase II,2013,CHEXIM,123000000,Ghana,ICT
"Water Supply Systems in Catete and Uíge Rehabilitation and Reinforcement, Phase 2",2011,CHEXIM,30000000,Angola,Water
Wad Medani Water Treatment Plant,2006,CHEXIM,29000000,Sudan,Water
"Sambizanga, Social Houses in Luanda - 3000 Units",2016,CDB,37000000,Angola,Other social
"Construction of Integrated Infrastructure, Vila do Soyo, Phase 1 Stage 2",2014,CDB,17000000,Angola,Multisector
Defense Project,2018,CHEXIM,30000000,Zambia,Defense
Unknown,2010,CIDCA,12000000,Gabon,Unallocated
Various Projects (Loan 2013/02),2013,CIDCA,17000000,Cameroon,Unallocated
Economic and Technical cooperation,2014,CIDCA,8000000,Mauritius,Unallocated
Refrigerated Trucks and Isothermal Vans Purchase,2007,CHEXIM,36000000,Angola,Agriculture
3-Year Syndicated Term Loan to support foreign currency position - BoC,2004,BoC,11000000,South Africa,Budget
"Sumbe, Institute of Technology Construction",2006,CHEXIM,9000000,Angola,Education
Hospital of Benguela,2005,CHEXIM,36000000,Angola,Health
"Rehabilitation of the Streets in the Cities of Caxito (20km), Uíge (22km), Negage (10km)",2007,CHEXIM,51000000,Angola,Transportation
Construction of Nairobi Inland Container Depot and Access Roads,2017,CHEXIM,115000000,Kenya,Transportation
"Pushkin Square - Gottera Square/Bole Airport Road, 4.3km",2013,CIDCA,59000000,Ethiopia,Transportation
"Mongu-Tapo Section, Mongu Kalabo Road, 34km",2011,CHEXIM,244000000,Zambia,Transportation
Oyo Harbor Phase 1,2013,CHEXIM,63000000,Republic of Congo,Transportation
Upgrading of Selected Feeder Roads in Ashanti and Western Regions 68 km,2018,Sinohydro Ltd.,45000000,Ghana,Transportation
"RN2 Crossing to Butembo, Phase I (7.5km)",2010,CHEXIM,23000000,Democratic Republic of Congo,Transportation
Economic-Technical Projects / Atbara steel bridge,2011,CIDCA,5000000,Sudan,Transportation
"Lubando MT and BT Networks, Phase 2",2007,CHEXIM,23000000,Angola,Power
Addis Ababa Power Network Rehabilitation and Upgrading Project,2016,CHEXIM,165000000,Ethiopia,Power
North Khartoum Power Station/Martyr Dr. Mahmoud Sharif Bbhari phase III/Unit D power plant expansion,2005,CHEXIM,175000000,Sudan,Power
"300km Kabwe - Pensulo Second Transmission Line, 330kV",2017,CHEXIM,114000000,Zambia,Power
Northern Region Rural Electrification,2012,ICBC,102000000,Ghana,Power
Kamburu - Embu - Kibirigwi - Thika 220 KV Transmission Line & 220/132 Kv Substation & 132/66 kv Substation at Uplands,2017,CHEXIM,90000000,Kenya,Power
National Extension of Intelligent Urban Video Surveillance System - Phase I,2018,BoC,42000000,Cameroon,ICT
Angola E-Government project for Luanda - Project 2,2011,CHEXIM,22000000,Angola,ICT
Integrated National Security Communications Enhancement Network (ALPHA) Project - Phase II,2019,CHEXIM,199000000,Ghana,ICT
"Water Supply Systems in Tômbwa, Rehabilitation and Reinforcement, Phase 2",2011,CHEXIM,31000000,Angola,Water
Kosti Water Project,2006,CHEXIM,30000000,Sudan,Water
Malanje Youth House,2017,CDB,38000000,Angola,Other social
"Construction of Integrated Infrastructure, Viana, Phase 1",2014,CDB,37000000,Angola,Multisector
"Defense Project - 2,000 Units Housing for Zambian National Service",2018,ICBC,210000000,Zambia,Defense
Unknown,2010,CIDCA,12000000,Gabon,Unallocated
Economic and Technical cooperation,2015,CIDCA,7000000,Mauritius,Unallocated
"Purchase of Tractors, Repair of Machines, Construction of Workshops, Training of Mecanagro Technicians",2011,CHEXIM,33000000,Angola,Agriculture
5-Year Syndicated Term Loan to support foreign currency position and repay previous loans - BoC,2005,BoC,12000000,South Africa,Budget
"HBO (2) and HLA (2), 4 Secondary Schools; HBO, HLA and Bié, 3 Institutes of Technology; HBO, Bié, K. Kubango and Cunene, 4 Institutes of Business Administration",2006,CHEXIM,62000000,Angola,Education
Regional Hospital of Lubango,2005,CHEXIM,43000000,Angola,Health
Cabinda Province to Zaire Province Road (Soyo Road?),2007,CHEXIM,3000000,Angola,Transportation
"Nairobi Western Bypass Road Construction, 16.8km",2018,CHEXIM,162000000,Kenya,Transportation
"Dire Dawa-Dewalle Road, 220 km",2014,CHEXIM,187000000,Ethiopia,Transportation
TAZARA 15th Protocol - Purchase of Locomotives,2012,CIDCA,43000000,Zambia,Transportation
Oyo Harbor Phase 2,2013,CHEXIM,23000000,Republic of Congo,Transportation
Rehabilitation of Oda-Ofoase-Abirem Road 38 km,2018,Sinohydro Ltd.,34000000,Ghana,Transportation
N'Djili Airport Runway Refurbishment,2012,CHEXIM,60000000,Democratic Republic of Congo,Transportation
"Implementing 26,000 New Household Connections and Expansion of the SE-PS05 Catete Road (Rehabilitation and Expansion of LDA's Electrical Network-PhaseII)",2007,CHEXIM,10000000,Angola,Power
"Aysha Wind Farm II, 120MW",2017,CHEXIM,219000000,Ethiopia,Power
Mini diesel power generators,2005,CIDCA,4000000,Sudan,Power
"Luapula, Musonda Falls Hydropower Plant Rehabilitation and Upgrading, 10MW",2017,ICBC,35000000,Zambia,Power
Bui Hydropower Project 400 MW Additional Finance Loan 2 (Total 749.6mn),2012,CHEXIM,76000000,Ghana,Power
Nairobi City Center E.H.V and 66 KV Network Upgrade and Reinforecement Projec,2017,CHEXIM,128000000,Kenya,Power
National Extension of Intelligent Urban Video Surveillance System - Phase II,2019,BoC,42000000,Cameroon,ICT
4 Telecommunication Projects,2012,BoC,110000000,Angola,ICT
Ghana Rural Telephony and Digital Inclusion Project,2020,CHEXIM,158000000,Ghana,ICT
"Lunda-Norte and Lunda-Sul Water Supply Rehabilitation and Reinforcement, Part 1",2011,CHEXIM,25000000,Angola,Water
Supply of Hdpe Pipes,2006,CHEXIM,17000000,Sudan,Water
"Construction of Integrated Infrastructure, Caxito, Phase 1",2014,CDB,55000000,Angola,Multisector
Defense Project,2018,CHEXIM,171000000,Zambia,Defense
Unknown,2011,CIDCA,14000000,Gabon,Unallocated
Unknown,2016,CIDCA,7000000,Mauritius,Unallocated
"Purchase of 435 Isothermal Refrigerator Trucks for General, Frozen, Dry, or Salted Fish Cargo",2011,CHEXIM,12000000,Angola,Agriculture
3-Year Syndicated Term Loan to support foreign currency position and repay previous loans - BoC,2005,BoC,12000000,South Africa,Budget
"Luanda, Bengo, Cabinda and Namibe, 4 Institutes of Technology; Luanda (2), Benguela (1), Zaire (1), and Namibe (1), 5 Institutes of Business Administration; Luanda (2), Benguela (2) and Namibe (2) 6 Secondary Schools",2006,CHEXIM,84000000,Angola,Education
Central Hospital of Huambo,2005,CHEXIM,29000000,Angola,Health
Saurimo's Airport Aerogare Construction,2010,CHEXIM,28000000,Angola,Transportation
Bole Airport Expansion Passenger Terminal - Additional Finance,2016,CHEXIM,117000000,Ethiopia,Transportation
"Mansa to Luwingu Road, 175km",2013,CDB,176000000,Zambia,Transportation
Hohoe-Jasikan-Dodi Pepesu Road 66.4 km,2018,Sinohydro Ltd.,49000000,Ghana,Transportation
"Lwambo - Mitwaba - Manono - Kalemie Road Rehabilitation, Phase I (171.6/466km) - Dirt Road",2014,CHEXIM,30000000,Democratic Republic of Congo,Transportation
"Expansion of the Network of MT, BT and IP in the city of Caxito and Rehabilitation of the Quifangondo-Cazenga Line (Reconstruction of 60Kv Transmission Line and Quif.-Mabubas Substation)",2007,CHEXIM,21000000,Angola,Power
"28.4km Transmission Lines to Bole and Kilinto Industrial Zones in Addis Ababa, 230KV, Kilinto and Bole Lemi Power plant substations",2017,CHEXIM,83000000,Ethiopia,Power
Rabak-Obied Transmission Line 340km,2006,China Machinery Engineering Corporation (CMEC),81000000,Sudan,Power
Connection of Lundazi and Chama to the National Grid,2017,ICBC,37000000,Zambia,Power
"Rural Electrification Programme CWE - Electrification of 1,033 communities in Ashanti, Brong Ahafo, Eastern, Volta and Western Regions - Phase 1 (495 communities) under Self-Help Electrification Programme (SHEP) Phase V",2016,ICBC,88000000,Ghana,Power
Kenya Power Transmission Expansion Project,2019,CHEXIM,97000000,Kenya,Power
"Water Supply Systems in Tômbwa Rehabilitation and Reinforcement, Phase 2",2012,CHEXIM,20000000,Angola,Water
"Nyala Water Supply - water pipes, water spare parts, water tanks, and unspecified project costs",2008,CHEXIM,51000000,Sudan,Water
Lar do Patriota Basic Infrastructure Phase II,2016,CDB,87000000,Angola,Multisector
Defense Project,2019,BoC,30000000,Zambia,Defense
Unknown,2015,CIDCA,8000000,Gabon,Unallocated
"Purchase of 10 Line Fishing Boats, 1 Freezer Ship, 5 Patrol Boats, 1 Boat",2011,CHEXIM,16000000,Angola,Agriculture
Recapitalization and Increase of Lending Capacity,2009,CCB,50000000,South Africa,Budget
"Lunda Sul, Lunda Norte and Uíge, 3 Institutes of Technology; Uíge, 1 Agrarian Institute; Uíge and Moxico, 2 Institutes of Business Administration; Uíge, 1 Secondary School",2006,CHEXIM,61000000,Angola,Education
"Huambo, Huíla and Benguela, 3 Municipal Hospitals; Benguela, 2 Health Care Centers; Huíla, 2 Health Care Centers",2005,CHEXIM,39000000,Angola,Health
Replacement of 1500 Cars Destroyed in the War,2011,CHEXIM,25000000,Angola,Transportation
"Addis-Adama Expressway Phase II: Akaki-IT Park (Goro) Road, 14.5-km; Akaki-Lebu Road, 13.6-km",2016,CHEXIM,190000000,Ethiopia,Transportation
"Mbala to Nakonde Road, 172km",2013,CHEXIM,196000000,Zambia,Transportation
Accra Intelligent Traffic Management System and Road Completion,2019,CDB,211000000,Ghana,Transportation
"Goma: Bunagana - Rutshuru - Goma Road, 15km",2015,CHEXIM,10000000,Democratic Republic of Congo,Transportation
"Luanda MT and BT Networks, Phase 3",2008,CHEXIM,26000000,Angola,Power
"Woldiya II & Combolcha III Power Supply Sations, 400KV",2017,CHEXIM,90000000,Ethiopia,Power
Solar Energy Project in Northern Kordofan (phase I?),2006,CHEXIM,5000000,Sudan,Power
"Lusiwasi Upper Hydropower, 15MW - Bridging Finance",2018,China Machinery Engineering Corporation,15000000,Zambia,Power
Self-Help Electrification Programme (SHEP) in Five Regions HUNAN,2016,ICBC,85000000,Ghana,Power
"Luanda, Water Distribution Networks",2013,ICBC,130000000,Angola,Water
Port Sudan Water Project,2009,China National Machinery Industry Corporation (Sinomach),463000000,Sudan,Water
Multisector,2017,CDB,2000000000,Angola,Multisector
Chalala Barracks,2019,"Other CN Financing: Jiangxi Bank Co., Ltd.",187000000,Zambia,Defense
"Irrigation Canal in Calueque, Cunene, Phase I",2011,CDB,49000000,Angola,Agriculture
Liquidity financing,2009,CCB,19000000,South Africa,Budget
"Huambo and Bié, Complementary Actions in the Agrarian Technical Schools",2007,CHEXIM,27000000,Angola,Education
"HBO, Malange, BLA, and Huíla Regional Hospitals",2007,CHEXIM,68000000,Angola,Health
"Rehabilitation, Modernization of Workshops, Angola's Railways",2011,CHEXIM,83000000,Angola,Transportation
"Kality Ring Road Interchange-Tulu Dimtu Roundabout Project, 20.6km",2016,CHEXIM,103000000,Ethiopia,Transportation
"Lusaka Urban Road (L400) Upgrade, 400km Phase I",2013,CHEXIM,296000000,Zambia,Transportation
Rolling stock procurement (35 new standard gauge locomotives and rolling stock),2020,Dongfang Electric,244000000,Ghana,Transportation
Kolwezi Road Rehabilitation and Modernization,2015,CHEXIM,6000000,Democratic Republic of Congo,Transportation
"Malange MT and BT Networks, Phase 2",2008,CHEXIM,27000000,Angola,Power
SP-2 Diesel Generator Power Plant,2006,"China National Electric Engineering Co., Ltd. (CNEEC)",8000000,Sudan,Power
"Kabwe - Pensulo Second Transmission Line, 330kV - Bridging Finance",2018,China Jiangxi Corporation for International Economic and Technical Cooperation (CJIC),17000000,Zambia,Power
"Electrification of 1,033 communities in Ashanti, Brong Ahafo, Eastern, Volta and Western Regions - Phase 2 (582 communities) under Self-Help Electrification Programme (SHEP) Phase V",2020,ICBC,95000000,Ghana,Power
"Luanda, Marçali Water Distribution Centre Rehabilitation",2013,CDB,54000000,Angola,Water
Dali water project,2010,CHEXIM,24000000,Sudan,Water
"Irrigation Canal in Calueque, Cunene, Phase II",2011,CDB,14000000,Angola,Agriculture
Liquidity financing,2010,CCB,97000000,South Africa,Budget
"Késsua Malange, Complementary Actions in the Agrarian Technical Schools",2007,CHEXIM,11000000,Angola,Education
Complements to 7 Municipal Hospitals and 9 Health Care Centers,2007,CHEXIM,65000000,Angola,Health
Catamaran Boats Purchase - 4 Units,2011,CHEXIM,70000000,Angola,Transportation
"Modjo-Hawassa Expressway, Arsi Negele-Hawassa Section, 52km",2017,CHEXIM,171000000,Ethiopia,Transportation
Lusaka International Airport (Kenneth Kaunda International Airport) Expansion,2014,CHEXIM,360000000,Zambia,Transportation
Mbuji Mayi to Mwene Ditu Road Resurfacing,2015,CHEXIM,15000000,Democratic Republic of Congo,Transportation
"Lundas Sul and Norte, Dundo, and Saurimo, MT and BT Networks",2008,CHEXIM,46000000,Angola,Power
Solar Energy Project in Northern Kordofan (phase II?),2007,CN Gov,7000000,Sudan,Power
"Kwanza Sul, Porto Amboim Water Supply System Improvement",2015,CDB,51000000,Angola,Water
"Purchase of Tractors, Repair of Machines, Construction of Workshops, Training of Mecanagro Technicians",2011,CDB,33000000,Angola,Agriculture
Land Bank Syndicated Loan- CCB,2016,CCB,20000000,South Africa,Budget
"Kwanza Sul and Kwanza Norte and Sumbe, Complementary Actions in the Agrarian Technical Schools",2007,CHEXIM,34000000,Angola,Education
Additional Values to the Municipal Hospital of Caculama,2007,CHEXIM,10000000,Angola,Health
Purchase of Railway Rolling Stock,2011,CHEXIM,86000000,Angola,Transportation
TAZARA,2015,CIDCA,22000000,Zambia,Transportation
"Kalemie Road Rehabilitation and Modernization, Phase I",2015,CHEXIM,15000000,Democratic Republic of Congo,Transportation
"Luanda MT and BT Networks, Phase 4",2008,CHEXIM,130000000,Angola,Power
North Khartoum Electrical Substation and Other Substations/Transmission Lines,2008,"Tebian Electric Apparatus Co., Ltd. (TBEA)",41000000,Sudan,Power
"Huambo City, Water Supply Network Construction, Lot 1 & 2, Phase II",2015,CDB,139000000,Angola,Water
"Malange, Pedras Negras Farm",2011,CDB,117000000,Angola,Agriculture
Land Bank Syndicated Loan- BOC Facility A,2016,BoC,6000000,South Africa,Budget
"Cacuaco, Sambizanga, Viana, Cazenga, Benguela, and Lobito, Complementary Actions in the Technical Schools",2007,CHEXIM,27000000,Angola,Education
"Luanda-Soyo Highway Rehabilitation, Nzeto-Soyo Section, 141km",2011,CHEXIM,85000000,Angola,Transportation
"Earth-moving Machinery for Road Repairs/Contruction Purchase, Phase II",2015,Aviation Industry Corporation of China (AVIC),50000000,Zambia,Transportation
Kabalo Bridge Construction and Modernization Project,2015,CHEXIM,6000000,Democratic Republic of Congo,Transportation
Lomaum Hydropower Project 65MW,2010,ICBC,60000000,Angola,Power
White Nile Electrification Project (AI-Duwaim/Ad Douiem Electricity Transmission Project),2009,China Machinery Engineering Corporation (CMEC),215000000,Sudan,Power
"Cabinda Water Supply System, including the Sassa-Zau Water Treatment Plant, Part 1",2016,CDB,76000000,Angola,Water
"Calueque, Cunene, Irrigation Canal, Phase II",2012,CDB,34000000,Angola,Agriculture
Land Bank Syndicated Loan- BOC Facility B,2016,BoC,6000000,South Africa,Budget
"Cacuaco, Nova Vida, Sapú, and Benguela, Complementary Actions in the Secondary Schools",2007,CHEXIM,9000000,Angola,Education
"Luanda-Soyo Highway, Bridge over M'Bridge River, Package 4",2011,CHEXIM,53000000,Angola,Transportation
"Mansa to Luwingu Road, 175km Additional Loan",2016,CDB,30000000,Zambia,Transportation
Kitanda - Ankoro Road Rehabilitation and Modernization Project (70km),2015,CHEXIM,5000000,Democratic Republic of Congo,Transportation
"MT/BT Networks - Lunda-Norte and Lunda-Sul Rehabilitation and Expansion, Phase 1",2011,CHEXIM,21000000,Angola,Power
Al Fulah Gas-Power Plant 300 MW,2009,CHEXIM,612000000,Sudan,Power
"Cabinda Water Supply System, Part 2",2016,CDB,76000000,Angola,Water
"Uige, Sanza Pombo Farm",2012,CDB,129000000,Angola,Agriculture
"Huíla, Complementary Actions in the Secondary School and Technical School; Malange, 2 Secondary Schools",2007,CHEXIM,13000000,Angola,Education
"Luanda-Soyo Highway, Package 5 (Km 8 to Km 104)",2011,CHEXIM,46000000,Angola,Transportation
"Ndola International Airport Phase I, Greenfield Project",2016,CHEXIM,338000000,Zambia,Transportation
"Uvira Road Rehabilitation and Modernization Project, Phase I (5 km)",2015,CHEXIM,5000000,Democratic Republic of Congo,Transportation
MT and BT Networks of Mbanza Congo Rehabilitation,2011,CHEXIM,4000000,Angola,Power
South Kordofan Transmission Lines (Al Fulah Thermal Plant's Tranmission Line?),2010,CHEXIM,233000000,Sudan,Power
"Lucapa, Lunda-Norte Water Supply System",2016,CDB,6000000,Angola,Water
"Cuando Cubango, Longa Farm",2012,CDB,77000000,Angola,Agriculture
"Cabinda, Complementary Actions in the Technical School",2007,CHEXIM,13000000,Angola,Education
"Luanda-Soyo Highway, Package 6 (Km 104 to Km 149)",2011,CHEXIM,46000000,Angola,Transportation
Lusaka Urban Road Rehabilitation Phase II (L400 Phase II),2016,CHEXIM,313000000,Zambia,Transportation
"RN2 Crossing to Butembo, Phase II (7.5km)",2015,CHEXIM,11000000,Democratic Republic of Congo,Transportation
Mabubas Hydropower Project Expansion 10MW,2012,China Energy Engineering Corporation (CEEC),22000000,Angola,Power
Upper Atbara Hydropower Project - 135 MW,2011,CN Gov,105000000,Sudan,Power
"Kiwaba Nzoje, Malanje Water Supply System",2016,CDB,7000000,Angola,Water
"Bie, Camacupa Farm",2012,CDB,89000000,Angola,Agriculture
"Cabinda Campus, 11 de Novembro University, Phase II",2016,CDB,50000000,Angola,Education
"Luanda-Soyo Highway, Infrastructure Work for the Nzeto-Soyo Section, Package 7",2011,CHEXIM,46000000,Angola,Transportation
"Ndola City Roads Construction and Upgrade, 42.9km",2016,Poly Technologies Inc.,50000000,Zambia,Transportation
Feasibility Study for the Rehabilitation and Modernization Project of the Mwene Ditu - Nguba Road,2016,CHEXIM,2000000,Democratic Republic of Congo,Transportation
"Soyo-Kapary Transmission, 400kV and Transformation Project",2013,CHEXIM,1000000000,Angola,Power
"Cacula, Huila Water Supply System",2016,CDB,17000000,Angola,Water
"Moxico, Camaiangala Farm",2013,CDB,79000000,Angola,Agriculture
"Camama - Road Infrastrcture, Disbursement 1",2011,CDB,86000000,Angola,Transportation
"Ndola International Airport, 15%",2017,ICBC,60000000,Zambia,Transportation
Nzolana Avenue Rehabilitation and Anti-Erosion Control,2016,CHEXIM,39000000,Democratic Republic of Congo,Transportation
"Luachimo Hydropower Project, 36MW",2013,ICBC,180000000,Angola,Power
"Jamba, Huila Water Supply System",2016,CDB,6000000,Angola,Water
Guimba Farm (Cuimba Farm),2014,CHEXIM,68000000,Angola,Agriculture
"Camama - Road Infrastructure, Disbursement 2",2011,CDB,31000000,Angola,Transportation
"Kitwe, Chingola, and Mufulira, Copperbelt Province Urban Road Lot 1, 152km",2018,CHEXIM,197000000,Zambia,Transportation
Kabongo-Dianda - Mukwende Road Rehabilitation Project (350 km),2016,CHEXIM,6000000,Democratic Republic of Congo,Transportation
Hydropower in Chiumbe-dala 12.42MW and 99.6km Transmission Line in Luena 110kV,2014,CHEXIM,112000000,Angola,Power
"Cangandala, Malanje Water Supply System",2016,CDB,7000000,Angola,Water
"Cunene, Manquete Farm",2014,CDB,86000000,Angola,Agriculture
"Road Rehabilitation in Nharea, Bie, Stecol Corporation (中水电十三局), 12km",2015,CDB,20000000,Angola,Transportation
"Lusaka Urban Roads (L400) Upgrade, 400km, Phase III, Eximbank part",2018,CHEXIM,205000000,Zambia,Transportation
Kamina - Kabongo Road Rehabilitation Project (230 km),2016,CHEXIM,6000000,Democratic Republic of Congo,Transportation
Soyo I Combined Cycle Power Plant Phase I 750MW,2015,ICBC,838000000,Angola,Power
"Muxima, Luanda Water Supply System",2016,CDB,11000000,Angola,Water
Nzeto-Soyo Road,2015,CHEXIM,509000000,Angola,Transportation
"Lusaka Urban Road (L400) Upgrade, 400km, Phase III, BoC part",2018,BoC,36000000,Zambia,Transportation
Kikwit - Idiofa Road Rehabilitation and Modernization Project (70 km),2016,CHEXIM,10000000,Democratic Republic of Congo,Transportation
Caculo Cabaca Hydropower Project 2170MW and transmission lines,2016,"MixedCN: Industrial and Commercial Bank of China Ltd. (ICBC), Export-Import Bank of China (CHEXIM), Bank of China (BoC), China Construction Bank (CCB), China Minsheng Bank, Ping An Bank Co., Ltd., Bank of China (BoC)",3000000000,Angola,Power
"Quela, Malanje Water Supply System",2016,CDB,13000000,Angola,Water
Caio Port in Cabinda & Sinosure Premium,2016,CHEXIM,932000000,Angola,Transportation
"Kawambwa to Mporokoso (D019) Road Upgrade, 122km",2018,CHEXIM,121000000,Zambia,Transportation
Kisangani Road Rehabilitation and Modernization Project (10.914 km),2016,CHEXIM,15000000,Democratic Republic of Congo,Transportation
"Huambo City, Electrification of 17,500 Home Connections",2016,CDB,47000000,Angola,Power
M´Banza Congo Water Supply System,2016,CDB,30000000,Angola,Water
"Caconda-Ngalo River Road in Huíla, EN110 and 280 Road Rehabilitation, Phase I",2016,CDB,46000000,Angola,Transportation
Manono Road Rehabilitation and Modernization Project (5 km),2016,CHEXIM,10000000,Democratic Republic of Congo,Transportation
"Luanda, Electrification of 300,000 Home Connections",2016,CDB,452000000,Angola,Power
"Bibala, Namibe, Water Supply System",2016,CDB,9000000,Angola,Water
"Ngalo River-Quipungo Road in Huíla, Rehabilitation of EN110 and 280, Phase II",2016,CDB,51000000,Angola,Transportation
Ankoro - Manono Road Rehabilitation and Modernization Project (115km),2016,CHEXIM,5000000,Democratic Republic of Congo,Transportation
"Lubango/Matala, Huila, Electrification of 12,500 Home Connections",2016,CDB,47000000,Angola,Power
"Tchindjendje, Huambo, Water Supply System",2016,CDB,19000000,Angola,Water
"Lunda-Sul Road Rehabilitation, Xinge-Lubalo Connection",2016,CDB,48000000,Angola,Transportation
Kalemie Airport Terminal Construction,2017,CHEXIM,6000000,Democratic Republic of Congo,Transportation
"Cabinda City, Electrification of 20,000 Household Connections",2016,CDB,47000000,Angola,Power
"Ecunha, Huambo, Water Supply System",2016,CDB,33000000,Angola,Water
"Cuanza-Sul EN120 Road Rehabilitation Lot 4, Alto Dondo / Waco Kungo / Bridge of the River Keve, Lot 04 - São Mamede / Waco Kungo, 57.5 km",2016,CDB,56000000,Angola,Transportation
"Kinshasa, Triomphal and Sendwe Boulevards Reinforcement (3.67km)",2017,CHEXIM,5000000,Democratic Republic of Congo,Transportation
"Lauca-Huambo, Electricity Transmitting and Transforming System Construction",2016,CDB,340000000,Angola,Power
"Cuito, Bié, Water Supply System",2016,CDB,39000000,Angola,Water
Luanda Rehabilitation of EN100 Part One,2016,CDB,34000000,Angola,Transportation
"RN5 Bukavu - Ngangezi - Kamanyola Upgrade, Phase II (50/55km)",2018,CHEXIM,57000000,Democratic Republic of Congo,Transportation
"Benguela City, Electrification Contract and 22,800 Household Connections",2016,CDB,71000000,Angola,Power
"Massango, Malanje, Water Supply System Construction",2016,CDB,9000000,Angola,Water
"Cuanza-Sul, EN100 Road Rehabilitation, Cabo Ledo-Lobito Road Lot 2, Ponte do Rio Longa-Ponte do Rio Keve",2016,CDB,50000000,Angola,Transportation
"Kalemie Road Rehabilitation and Modernization, Phase II",2018,CHEXIM,27000000,Democratic Republic of Congo,Transportation
Electrification and Home Connections in Zaire Province,2018,MixedCN: ICBC & China Minsheng Bank,405000000,Angola,Power
"Marimba, Malanje, Water Supply System",2016,CDB,12000000,Angola,Water
"Cuanza-Sul, EN100 Rehabilitation, Cabo Ledo-Lobito Road Lot 4, Sumbe-Ponte do Rio Eval",2016,CDB,31000000,Angola,Transportation
Lualaba: Kanina - Musonoï - Kapata Road Construction (12.93 km),2018,CHEXIM,10000000,Democratic Republic of Congo,Transportation
"Malanje City, Water Supply System Construction",2016,CDB,31000000,Angola,Water
"Benguela, EN100 Road Rehabilitation, Cabo Ledo-Lobito Lot 5, Ponte do Rio Eval/ Ponte do Rio Culango",2016,CDB,41000000,Angola,Transportation
N'Djili Airport Terminal (Kinshasa),2019,CHEXIM,301000000,Democratic Republic of Congo,Transportation
"Cunhinga, Bie, Water Supply System Construction",2016,CDB,11000000,Angola,Water
Cuanza Sul Rehabilitation of EN120 Part 2,2016,CDB,20000000,Angola,Transportation
"Chitembo, Bie, Water Supply System Construction",2016,CDB,8000000,Angola,Water
"Cuanza-Sul Rehabilitation of EN120 Part 5, High Dondo / Waco Kungo / Keve River Bridge, Lot 05 - Waco Kungo / Keve River Bridge, 31.1km",2016,CDB,49000000,Angola,Transportation
"Bula Atumba, Bengo, Water Supply System Construction",2016,CDB,18000000,Angola,Water
"EN230 Road Lot 1 Lucala-Malage-Saurimo, Intersection to EN322",2016,CDB,53000000,Angola,Transportation
"Bula Atumba, Bengo, Water Supply System Construction",2016,CDB,10000000,Angola,Water
"EN230 Road Lot 2 Cacuso-Malange, 68.8km",2016,CDB,60000000,Angola,Transportation
"Tchicala-Tcholoanga, Huambo, Water Supply System Construction",2016,CDB,18000000,Angola,Water
"EN321 Road Rehabilitation, Maria Teresa to Dondo, 61km",2016,CDB,27000000,Angola,Transportation
"Nharêa, Bié, Water Supply System Construction",2016,CDB,8000000,Angola,Water
"Cuanza Sul, EC247 Road Rehabilitation, EN120-Cassongue Connection, 37km",2016,CDB,12000000,Angola,Transportation
"Camucuio, Namibe, Water Supply System Construction",2016,CDB,10000000,Angola,Water
"Sambizanga, Luanda, Rua 12 de Julho Road",2016,CDB,46000000,Angola,Transportation
"Muxaluando, Bengo, Water Supply System Construction",2016,CDB,41000000,Angola,Water
"Malanje, Talamungongo - Mussolo - Cambundi - Catembo Road Rehabilitation, 290km",2016,CDB,55000000,Angola,Transportation
"Luanda Water Distribution Systems - Panguila, Caop-Velha, Km 32",2016,CDB,41000000,Angola,Water
"Airport Terminals in Cuito, Bie",2016,CDB,26000000,Angola,Transportation
"Luanda, Candelabro Water Distribution Center",2016,CDB,24000000,Angola,Water
Cabinda Airport Expansion,2016,CDB,60000000,Angola,Transportation
Package S5- Quilonga Grande Construction,2016,CDB,386000000,Angola,Water
Construction of the River and Land Terminal in Soyo City,2016,CDB,60000000,Angola,Transportation
Construction of the CD Morar and Installation of the System of Monitoring and Safety of Adductive Pipes in Luanda,2016,CDB,13000000,Angola,Water
Marine Passenger Terminal in Cabinda,2016,CDB,56000000,Angola,Transportation
Dredging of the Malanje River,2017,CDB,28000000,Angola,Water
"EN100 Road Rehabilitation, Part 3",2016,CDB,23000000,Angola,Transportation
"Sumbe City, Cuanza Sul, Integrated Infrastructure Lot 2 - Drainage",2019,ICBC,106000000,Angola,Water
"Benguela, EN100 Road Rehabilitation Lot 6, 39km",2016,CDB,38000000,Angola,Transportation
"Cuanza Sul, EN120 Road Rehabilitation, Part 3, Alto Dondo / Waco Kungo / Bridge of the River Keve, 52km, Lot 03 - Jetty on the Quimone / São Mamede Riv",2016,CDB,38000000,Angola,Transportation
"EN120 Road Rehabilitation Lot 1, Alto Dondo-Desvio da Munenga, 46km",2016,CDB,51000000,Angola,Transportation
"Luanda, N´Gola Kiluange Road Rehabilitation, 35.9km",2016,CDB,26000000,Angola,Transportation
